0000.214062 000001F8 8 00 00 FF FF FE 00 00 0F
0000.214298 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.214528 00000244 7 FE FE 00 18 00 00 FE 
0000.214764 00000652 8 95 90 00 15 40 07 55 50
0000.218691 000001F9 6 20 00 7D 00 00 FF  
0000.218875 00000650 5 41 00 FF D6 00   
0000.219116 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.219976 00000215 6 00 20 00 00 01 01  
0000.221998 0000035D 8 90 03 00 00 09 C0 53 00
0000.223452 00000656 6 07 FF 07 FF 07 FF  
0000.223795 00000181 8 7D 00 32 10 32 20 32 00
0000.224036 000001F8 8 00 00 FF FF FE 00 00 0F
0000.224282 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.224486 0000065B 6 FF EF FE B8 40 7C  
0000.224732 0000027F 8 00 05 00 00 00 00 00 01
0000.224978 00000285 8 00 00 00 00 00 00 4D D4
0000.225219 00000284 8 00 00 00 00 00 00 4D D3
0000.229064 000001F9 6 20 00 7D 00 00 FF  
0000.229284 00000638 7 50 0F C5 90 00 00 00 
0000.229535 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.231992 000005FD 8 1F 64 55 4A C9 52 00 00
0000.233805 00000181 8 7D 00 32 10 32 20 32 00
0000.234056 000001F8 8 00 00 FF FF FE 00 00 0F
0000.234291 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.234537 000001FD 8 32 41 7F FF 7F FF 50 00
0000.234767 00000244 7 FE FE 00 18 00 00 FE 
0000.235018 00000354 8 00 00 00 00 00 00 06 00
0000.235863 000005E4 3 00 00 00     
0000.238746 000001F9 6 20 00 7D 00 00 FF  
0000.238981 00000427 8 DB FF FF C7 FF FF 28 00
0000.239237 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.239980 00000215 6 00 20 00 00 01 01  
0000.243794 00000181 8 7D 00 32 10 32 20 32 00
0000.244029 0000042E 8 FF FF DF FF E4 09 00 FF
0000.244265 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.244516 000001F8 8 00 00 FF FF FE 00 00 0F
0000.244767 0000027F 8 00 05 00 00 00 00 00 01
0000.245074 00000285 8 00 00 00 00 00 00 4E D5
0000.245253 00000284 8 00 00 00 00 00 00 4E D4
0000.245499 000005E9 8 00 38 00 00 00 18 00 02
0000.246031 00000651 2 04 F0      
0000.249083 000001F9 6 20 00 7D 00 00 FF  
0000.249339 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.251996 0000060D 8 0E 16 00 00 45 47 02 00
0000.253875 00000551 8 47 00 00 00 FE 02 00 00
0000.254131 000001F8 8 00 00 FF FF FE 00 00 0F
0000.254367 00000181 8 7D 00 32 10 32 20 32 00
0000.254597 00000244 7 FE FE 00 18 00 00 FE 
0000.254833 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.258734 000001F9 6 20 00 7D 00 00 FF  
0000.258980 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.259994 00000215 6 00 20 00 00 01 01  
0000.260198 00000625 6 82 60 E7 11 00 00  
0000.261939 00000366 4 00 00 00 A0    
0000.263854 00000181 8 7D 00 32 10 32 20 32 00
0000.264105 000001F8 8 00 00 FF FF FE 00 00 0F
0000.264340 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.264637 0000027F 8 00 05 00 00 00 00 00 01
0000.264883 00000285 8 00 00 00 00 00 00 4F D6
0000.265134 00000284 8 00 00 00 00 00 00 4F D5
0000.269112 000001F9 6 20 00 7D 00 00 FF  
0000.269368 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.271908 00000657 2 C1 C8      
0000.273869 00000181 8 7D 00 32 10 32 20 32 00
0000.274120 000001F8 8 00 00 FF FF FE 00 00 0F
0000.274365 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.274606 00000244 7 FE FE 00 18 00 00 FE 
0000.274862 00000354 8 00 00 00 00 00 00 06 00
0000.278789 000001F9 6 20 00 7D 00 00 FF  
0000.279050 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.279982 00000215 6 00 20 00 00 01 01  
0000.283889 00000181 8 7D 00 32 10 32 20 32 00
0000.284140 000001F8 8 00 00 FF FF FE 00 00 0F
0000.284375 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.284641 0000027F 8 00 05 00 00 00 00 00 01
0000.284882 00000285 8 00 00 00 00 00 00 50 D7
0000.285123 00000284 8 00 00 00 00 00 00 50 D6
0000.289070 000001F9 6 20 00 7D 00 00 FF  
0000.289316 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.291953 00000500 5 02 8D EA D4 5B   
0000.293801 00000181 8 7D 00 32 10 32 20 32 00
0000.294047 000001F8 8 00 00 FF FF FE 00 00 0F
0000.294282 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.294513 00000244 7 FE FE 00 18 00 00 FE 
0000.294687 00000634 4 80 FE 00 00    
0000.298783 000005DD 7 00 FF FF 00 00 FE 00 
0000.298993 000001F9 6 20 00 7D 00 00 FF  
0000.299238 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.300022 00000215 6 00 20 00 00 01 01  
0000.303544 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.303754 00000511 7 00 B5 40 1C 9A 76 DA 
0000.303995 00000181 8 7D 00 32 10 32 20 32 00
0000.304241 000001F8 8 00 00 FF FF FE 00 00 0F
0000.304481 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.304732 0000027F 8 00 05 00 00 00 00 00 01
0000.304978 00000285 8 00 00 00 00 00 00 51 D8
0000.305219 00000284 8 00 00 00 00 00 00 51 D7
0000.309023 000001F9 6 20 00 7D 00 00 FF  
0000.309268 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.313385 00000645 5 00 FA FF 00 00   
0000.313871 00000181 8 7D 00 32 10 32 20 32 00
0000.314122 000001F8 8 00 00 FF FF FE 00 00 0F
0000.314358 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.314598 00000652 8 95 90 00 15 40 07 55 50
0000.314824 00000244 7 FE FE 00 18 00 00 FE 
0000.315069 00000354 8 00 00 00 00 00 00 06 00
0000.318710 000001F9 6 20 00 7D 00 00 FF  
0000.318894 00000650 5 41 00 FF D6 00   
0000.319140 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.320005 00000215 6 00 20 00 00 01 01  
0000.322017 0000035D 8 90 03 00 00 09 C0 53 00
0000.323410 00000656 6 07 FF 07 FF 07 FF  
0000.323830 00000181 8 7D 00 32 10 32 20 32 00
0000.324081 000001F8 8 00 00 FF FF FE 00 00 0F
0000.324316 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.324521 0000065B 6 FF EF FE B8 40 7C  
